air_conditioning,alarm,area_gross,area_land,area_net,central_heating,condition,construction_year,county,description,energy,fireplace,garage,local,location,others,parking,pool,price,storage,title,toilets,type
True,False,737,"736,80",737,False,,2005,Lisboa,"Moradia de Luxo, isolada muito bem localizada perto das principais Avenidas do Restelo, com uma fantastica luminosidade e com uma vista privilegiada sobre o Tejo, mas em simultaneo um recato aconchegante. Encontra-se arrendada até 31 de Julho de 2024. Excelente rendimento. Construida em 2005 foi dotada de acabamentos de luxo como estores eléctricos e vidros duplos A moradia está dividida de seguinte forma: Piso -1 - Garagem para 5 carros, arrecadação, área técnica e casa das máquinas. Piso 0 - Ginásio, lavandaria, sala das crianças, suite, sauna, wc, jardim, piscina e Deck. Piso 1 - Sala de estar com lareira, sala de jantar com lareira, cozinha e varanda. Piso 2 - 4 suites. Piso 3 – Terraço. Área total do terreno: 736,80 m²; Área de implantação do edifício: 233,22 m²; Área bruta de construção: 725,8700 m² Próximo da Torre de Belem, CCB, Fundação Champalimaud etc… Muita Luz e zona calma. Zona calma e Segura das Embaixadas.  Aproveite esta moradia fora do comum para desfrutar em família.  Contacte-me já!",D,True,True,,Belém,,False,True,3900000,True,Moradia de Luxo com Vista Rio,4 ou mais,T5
False,False,"279,06","408,81","229,05",False,,1983,Lisboa,"Fantástica moradia com 3 pisos, situada numa localização central de excelência, num lote de 408,81m2. Se pretende uma moradia nos Olivais para renovar, este é o imóvel que procurava. Localizado em zona habitacional tranquila de moradias, apresenta 3 frentes que lhe conferem uma orientação solar magnífica. Piso 1 – Marquise, escritório/quarto, casa de banho social, sala de estar/jantar e varanda (acesso ao exterior). Piso 2 – três quartos, uma casa de banho e duas varandas. Cave – cozinha, duas salas de estar, casa de banho social e dois quartos. Garagem. Na parte exterior da moradia encontra um fantástico jardim com 296,41m2, tendo potencial para qualquer espaço de lazer e/ou construção de uma piscina. Possibilidade de remodelar ou ampliar, de acordo com os procedimentos legais necessários, aproveitando ao máximo a dimensão deste lote. Proximidade a todo o tipo de serviços (escolas, farmácia, restaurantes, transportes públicos), ao Spacio Shopping (2min), Hospital do SAMS, Estação da Gare do Oriente (6min), Centro Comercial Vasco da Gama e Parque das Nações. Acesso em 2 minutos à 2ª circular, Aeroporto de Lisboa e A1. Se está à procura de moradia no centro de Lisboa, esta poderá ser a sua nova casa.   Agende já a sua visita!",D,False,True,,Olivais,,False,False,1100000,True,Moradia T4 para venda,3,T4
True,False,171,,171,False,,,Lisboa,"Sublime Moradia com piscina e jardim. A moradia desenvolve-se em R/C e 1 piso, destinado à habitação no R/C e 1 piso, na zona exterior é destinado a lazer e a estacionamento e uma área de serviço. No piso térreo vamos encontrar um jardim, piscina, estacionamento e zona de circulação. No piso térreo da moradia é composta por sala em openspace com acesso ao jardim, cozinha totalmente equipada, zona de refeições e sala de estar, wc social e arrumos. O primeiro piso é a zona privada com três suites, instalação sanitária privada, uma das suites com closet e zona de circulação.  Nas redondezas vai encontrar comercio tradicional, museus, restaurantes, esplanadas, farmácias, bancos, todo o tipo de serviços, espaços culturas, transportes ( elétrico, autocarros, comboio, metro ), próximo do rio, Bairro Alto, Príncipe Real, Cais do Sodré e Mercado da Ribeira.",,False,True,,Misericórdia,,False,True,1700000,False,Sublime Moradia com piscina e jardim,4 ou mais,T3
False,False,,,47,False,Novo,,Lisboa,"Vende-se Barcaça fluvial com 1 quarto, Marina Parque das Nações/Expo, Lisboa  Para investidores!       A embarcação: A barcaça fluvial tradicional britânica é um alojamento diferenciado que existe há muitos anos nos canais de navegação fluviais ingleses. Este tipo de alojamento está totalmente equipado e mobilado e oferece todo o conforto de um apartamento com acesso/entrada privativa, quarto (1), wc, kitchenette com sala em open space, dispõe ainda de climatização, TV LCD (com TV por cabo), Wi-Fi e acesso a estacionamento.     O negócio:   Se procura um negócio direcionado para o mercado turístico (alojamento local), algo diferente do usual e bastante apelativo, invista numa barcaça típica britânica permanentemente ancorada na Marina do Parque das Nações.  Toda estrutura logística e de apoio, que envolve a exploração de um alojamento turístico, já está organizada e em funcionamento, com um investimento reduzido poderá obter uma rentabilidade anual entre os 8% e os 11% líquidos.          A localização: Na Marina da Expo - Integrada no Estuário do Tejo encontramos a moderna e cosmopolita Marina onde as barcaças estão ancoradas!  Com segurança 24h/dia destinada a embarcações de recreio (com postos de amarração) a Marina está capacitada com infra-estruras de apoio - Cais de eventos e uma Ponte Cais - preparada para acolher embarcações de cruzeiro, embarcações históricas de grande porte, eventos náuticos, mas também como área de apoio para eventos em terra.       A envolvente: O Parque das Nações  situado na zona oriental de Lisboa com uma arquitetura contemporânea (fruto de um projeto de requalificação urbanística e ambiental), dispõe de diversos equipamentos de lazer, desporto e culturais, convidando todo o ano os moradores e os visitantes à pratica de atividades desportivas, lúdicas e/ou culturais. Encontramos ainda o teleférico que oferece um passeio fantástico com vista panorâmica sobre o rio e a cidade, bem como inúmeros restaurantes, lojas, cafés, bares e todo o comércio e serviços essenciais para o dia-a-dia.     Alguns equipamentos da Expo: Museu da Ciência e Tecnologia, Pavilhão de Portugal, Pavilhão do Conhecimento, Altice Arena, Torre Vasco da Gama, Oceanário de Lisboa, Casino, Gare do Oriente, Centro Comercial Vasco da Gama, Hospital CUF, etc.     Pela sua localização junto ao rio, o Parque das Nações dispõe de uma extensa zona ribeirinha repleta de espaços verdes convidando a passeios a pé, de bicicleta, aulas de canoagem, vela, etc.. tendo sempre garantida como pano de fundo a beleza deslumbrante do Rio Tejo!      Venha conhecer, suba a bordo do seu novo negócio!     Para mais informações ou agendamento de visita:  Cristina Castro  nove três seis sete oito dois dois quatro oito #ref: 61392",,False,,,Parque das Nações,,False,False,140000,False,Moradia - 47 m2 - T1,1,T1
False,False,104,245,100,False,,1949,Lisboa,"Moradia geminada localizada no Bairro da Encarnação. Inserida num lote com 245m2 esta moradia é composta por 2 pisos. No R/CH temos o hall de entrada, sala, cozinha com marquise, um quarto e casa de banho. No 1º andar, hall , 3 quartos e 1 casa de banho. Possibilidade de abertura da cave. Dispõe de um agradável e amplo espaço exterior com churrasqueira, horta, pequena casa de apoio e estacionamento para uma viatura. A localização é privilegiada com fácieis acessos e proximidade a todos os tipos de serviços. Bons acessos rodoviários á 2ª circular, aeroporto de Lisboa e Autoestrada A1. Contacte-me e venha visitar. Temos um serviço inovador, tailor made, Your Home: Serviço de mudanças e armazenamento temporário; Projecto de Decoração de Interiores; Pequenas remodelações no contexto do projecto de design; Serviço de Limpeza do imóvel.",F,False,,,Olivais,,True,False,579000,False,Moradia T4 para venda,2,T4
False,False,50,175,50,False,,1938,Lisboa,"Apresento esta moradia térrea T4 transformada em T2 com sala e cozinha em open space. São 90m2 de muita privacidade e conforto de viver numa moradia. Optima para investimento ou habitação própria.     Aos fundos da moradia encontram-se dois anexos, sendo um deles T1 e o outro T2, que podem servir se apoio a moradia, ou também podem ser arrendadas. A moradia também dispõe de 2 terraços com vista sobre a cidade e o Aqueduto das Águas Livres   Localizada junto ao Aqueduto das Águas Livres, em zona sossegada e familiar com serviços de transportes a porta.   Usufrua do centro da cidade de Lisboa, com excelentes ligações rodoviárias.   Não perca esta oportunidade!   Contacte para mais informações!",F,False,,,Campolide,,False,False,295000,False,Moradia T4 para venda,1,T4
False,False,98,,98,False,Usado,,Lisboa,"Moradia de 4 Assoalhadas com Logradouro na Ajuda - Lisboa esta habitação é a junção de duas pequenas moradias com ligações internas entre os dois pisos.  Cozinha de 10m2 com mais uma zona de cerca de 7m2, sala de 17m2 com salamandra e acesso para outro espaço com cerca de 15m2, quarto no andar de baixo de 8m2, quarto de 32m2 e outro quarto de 31m2, no piso superior.  Conta ainda com um Logradouro e uma despensa.  Localizado próximo de universidades, é um ótimo investimento para o próprio ou para rentabilizar para arrendamento a estudantes.  Marque já a sua visita.",E,False,,,Ajuda,,False,False,265000,False,Moradia 4 assoalhadas com logradouro na Ajuda,,T3
True,True,,490,315,False,Em construção,2020,Lumiar,"Moradia térrea, no Lumiar, com piscina.  Inserida num condomínio fechado de moradias térreas com jardins e sala de condomínio.  A cozinha é equipada; tem ar condicionado, jardim, terraço e garagem para 2 carros.  Projeto de arquitectura de Eduardo Souto Moura  Classe Energética A (DCR)     Na SIGLA – Mediação Imobiliária encontra uma empresa com mais de 20 anos de experiência, reconhecida pelo seu atendimento personalizado, onde impera o profissionalismo, rigor e acompanhamento em todas as fases do negócio.  Temos mais de 300 imóveis à sua disposição e uma equipa de profissionais multidisciplinares, experiente e motivada para lhe proporcionar o melhor acompanhamento possível.  SIGLA, a sua imobiliária!  Categoria Energética: A",A,False,True,,Azinhaga da Fonte Velha,,False,True,Preçosobconsulta,False,Moradia Térrea ao Lumiar,4 ou mais,T3
False,False,"171,80",,"151,80",False,Usado,,Lisboa,"Excelente imóvel com uma localização prémio junto ao polo Universitário da Ajuda. Trata-se de 2 Moradias com logradouro vendidas em conjunto Imóvel com luz natural, salamandra na sala, cozinha, 3 quartos, sala e logradouro bastante agradável. Marque a sua visita junto da nossa equipa.  Categoria Energética: F",F,False,,,Ajuda,,False,False,265000,False,Moradia com logradouro na Ajuda,,T3
False,False,"448,26",,322,False,Em construção,,Lisboa,"Trata-se de uma Tradicional Vila da Cidade de Lisboa, que será objecto de uma profunda renovação e integração no tecido Urbano onde se insere, no Centro de Benfica entre a Rua da Republica da Bolívia e a Estrada de Benfica. Assim através de um PIP - Pedido de Informação Prévia, entregue na Câmara Municipal de Lisboa e APROVADO, está projetado uma reabilitação total de uma Vila ali existente com 11 fracções autônomas que se desenvolverão em 2 pisos, são 11 unidades - T0, com área média de cada unidade de 36m2 (cada).   Marque já comigo a sua visita, venha conhecer as potencialidades deste espaço, quer seja para reabilitar e venda posterior, quer seja para uma rentabilização no mercado do Arrendamento.  Categoria Energética: Isento",Isento,False,,,Benfica,,False,False,980000,False,Unidade Residencial - Vila de 11 Frações Autônomas no Cen...,,T10 ou superior
False,False,,,192,False,Novo,,Lisboa,"Apartamento T5 , Lisboa , centro a Lapa , vista extraordinaria Rio , com bons acessos excelentes areas e localizacao  , optimos acabamentos ,  modernos e bens localizadas na melhor zona de Lisboa.",A+,False,,,Misericórdia,,False,False,1595000,False,"Apartamento novo T5 centro de Lisboa , Lapa.",4 ou mais,T5
